name,formula,rt
Cholesterol,C27H46O1,2.4
CE 14:0,C41H72O2,0.82
CE 16:0,C43H76O2,0.82
CE 16:1,C43H74O2,0.82
CE 16:2,C43H72O2,0.82
CE 18:0,C45H80O2,0.82
CE 18:2,C45H76O2,0.85
CE 18:3,C45H74O2,0.87
CE 20:0,C47H84O2,0.84
CE 20:1,C47H82O2,0.84
CE 20:2,C47H80O2,0.87
CE 20:4,C47H76O2,1.02
CE 20:5,C47H74O2,1.05
CE 22:0,C49H88O2,0.9
CE 22:1,C49H86O2,0.9
CE 22:2,C49H84O2,0.9
CE 22:4,C49H80O2,0.9
CE 22:6,C49H76O2,1.1
FA 14:0,C14H28O2,2.98
FA 15:0,C15H30O2,2.99
FA 16:0,C16H32O2,3
FA 17:0,C17H34O2,3.01
FA 18:0,C18H36O2,3.02
FA 19:0,C19H38O2,3.03
FA 20:0,C20H40O2,3.03
FA 21:0,C21H42O2,3.04
FA 22:0,C22H44O2,3.05
FA 23:0,C23H46O2,3.05
FA 24:0,C24H48O2,3.06
Cer (d18:0/C16:0),C34H69N1O3,3.21
Cer (d18:0/C18:0),C36H73N1O3,3.22
Cer (d18:0/C20:0),C38H77N1O3,3.22
Cer (d18:0/C22:0),C40H81N1O3,3.23
Cer (d18:0/C24:0),C42H85N1O3,3.23
Cer (d18:0/C26:0),C44H89N1O3,3.23
Cer (d18:1/C12:0),C30H59N1O3,3.26
Cer (d18:1/C14:0),C32H63N1O3,3.27
Cer (d18:1/C16:0),C34H67N1O3,3.27
Cer (d18:1/C18:0),C36H71N1O3,3.28
Cer (d18:1/C18:1),C36H69N1O3,3.28
Cer (d18:1/C20:0),C38H75N1O3,3.28
Cer (d18:1/C22:0),C40H79N1O3,3.28
Cer (d18:1/C24:0),C42H83N1O3,3.29
Cer (d18:1/C24:1),C42H81N1O3,3.31
Cer (d18:1/C26:0),C44H87N1O3,3.29
SM(d18:1/C14:0),C37H75N2O6P1,4.59
LPC 22a:6,C30H50N1O7P1,4.91
LPC 24a:0,C32H66N1O7P1,4.72
PE 32a:2,C37H70N1O8P1,5.44
SM(d18:0/C18:0),C41H85N2O6P1,4.43
SM(d18:0/C22:0),C45H93N2O6P1,4.41
SM(d18:1/C15:0),C38H77N2O6P1,4.59
SM(d18:1/C17:0),C40H81N2O6P1,4.58
SM(d18:1/C19:0),C42H85N2O6P1,4.58
SM(d18:1/C20:0),C43H87N2O6P1,4.56
SM(d18:1/C21:0),C44H89N2O6P1,4.56
SM(d18:1/C22:0),C45H91N2O6P1,4.55
SM(d18:1/C23:0),C46H93N2O6P1,4.55
SM(d18:1/C25:0),C48H97N2O6P1,4.54
LPC 18a:0,C26H54N1O7P1,4.77
